client_id;nom;prenom;mail;tel;;INSERT INTO t_client (client_id, nom, prenom, mail, tel)
1;Durand;Liam;liam.durand@example.ch;+41 79 859 45 41;;"VALUE ('1','Durand','Liam','liam.durand@example.ch', '+41 79 859 45 41');"
2;Rossi;Ethan;ethan.rossi@example.ch;+41 79 854 23 96;;"VALUE ('2','Rossi','Ethan','ethan.rossi@example.ch', '+41 79 854 23 96');"
3;Morel;Tom;tom.morel@example.ch;+41 79 704 64 14;;"VALUE ('3','Morel','Tom','tom.morel@example.ch', '+41 79 704 64 14');"
4;Morel;Léa;léa.morel@example.ch;+41 79 323 39 74;;"VALUE ('4','Morel','Léa','léa.morel@example.ch', '+41 79 323 39 74');"
5;Durand;Lina;lina.durand@example.ch;+41 79 674 35 93;;"VALUE ('5','Durand','Lina','lina.durand@example.ch', '+41 79 674 35 93');"
6;Berger;Tom;tom.berger@example.ch;+41 79 325 67 85;;"VALUE ('6','Berger','Tom','tom.berger@example.ch', '+41 79 325 67 85');"
7;Durand;Luca;luca.durand@example.ch;+41 79 877 30 99;;"VALUE ('7','Durand','Luca','luca.durand@example.ch', '+41 79 877 30 99');"
8;Lambert;Elya;elya.lambert@example.ch;+41 79 384 29 37;;"VALUE ('8','Lambert','Elya','elya.lambert@example.ch', '+41 79 384 29 37');"
9;Favre;Nina;nina.favre@example.ch;+41 79 194 58 22;;"VALUE ('9','Favre','Nina','nina.favre@example.ch', '+41 79 194 58 22');"
10;Favrod;Jules;jules.favrod@example.ch;+41 79 718 43 15;;"VALUE ('10','Favrod','Jules','jules.favrod@example.ch', '+41 79 718 43 15');"
11;Meyer;Sofia;sofia.meyer@example.ch;+41 79 227 58 20;;"VALUE ('11','Meyer','Sofia','sofia.meyer@example.ch', '+41 79 227 58 20');"
12;Girard;Tom;tom.girard@example.ch;+41 79 949 90 89;;"VALUE ('12','Girard','Tom','tom.girard@example.ch', '+41 79 949 90 89');"
13;Fischer;Jules;jules.fischer@example.ch;+41 79 296 18 15;;"VALUE ('13','Fischer','Jules','jules.fischer@example.ch', '+41 79 296 18 15');"
14;Girard;Ethan;ethan.girard@example.ch;+41 79 181 39 22;;"VALUE ('14','Girard','Ethan','ethan.girard@example.ch', '+41 79 181 39 22');"
15;Schmid;Léna;léna.schmid@example.ch;+41 79 564 91 56;;"VALUE ('15','Schmid','Léna','léna.schmid@example.ch', '+41 79 564 91 56');"
16;Favrod;Leo;leo.favrod@example.ch;+41 79 463 36 95;;"VALUE ('16','Favrod','Leo','leo.favrod@example.ch', '+41 79 463 36 95');"
17;Morel;Luca;luca.morel@example.ch;+41 79 723 91 31;;"VALUE ('17','Morel','Luca','luca.morel@example.ch', '+41 79 723 91 31');"
18;Mercier;Tom;tom.mercier@example.ch;+41 79 267 69 58;;"VALUE ('18','Mercier','Tom','tom.mercier@example.ch', '+41 79 267 69 58');"
19;Meyer;Luca;luca.meyer@example.ch;+41 79 324 97 51;;"VALUE ('19','Meyer','Luca','luca.meyer@example.ch', '+41 79 324 97 51');"
20;Mercier;Noah;noah.mercier@example.ch;+41 79 941 14 50;;"VALUE ('20','Mercier','Noah','noah.mercier@example.ch', '+41 79 941 14 50');"
21;Schmid;Léna;léna.schmid@example.ch;+41 79 167 37 82;;"VALUE ('21','Schmid','Léna','léna.schmid@example.ch', '+41 79 167 37 82');"
22;Aubert;Nina;nina.aubert@example.ch;+41 79 771 73 60;;"VALUE ('22','Aubert','Nina','nina.aubert@example.ch', '+41 79 771 73 60');"
23;Rossi;Sofia;sofia.rossi@example.ch;+41 79 371 27 41;;"VALUE ('23','Rossi','Sofia','sofia.rossi@example.ch', '+41 79 371 27 41');"
24;Meyer;Tom;tom.meyer@example.ch;+41 79 369 84 64;;"VALUE ('24','Meyer','Tom','tom.meyer@example.ch', '+41 79 369 84 64');"
25;Rey;Camille;camille.rey@example.ch;+41 79 470 38 27;;"VALUE ('25','Rey','Camille','camille.rey@example.ch', '+41 79 470 38 27');"
26;Perrin;Arthur;arthur.perrin@example.ch;+41 79 193 16 24;;"VALUE ('26','Perrin','Arthur','arthur.perrin@example.ch', '+41 79 193 16 24');"
27;Dubois;Emma;emma.dubois@example.ch;+41 79 911 97 64;;"VALUE ('27','Dubois','Emma','emma.dubois@example.ch', '+41 79 911 97 64');"
28;Morel;Lina;lina.morel@example.ch;+41 79 494 58 86;;"VALUE ('28','Morel','Lina','lina.morel@example.ch', '+41 79 494 58 86');"
29;Gonzalez;Sofia;sofia.gonzalez@example.ch;+41 79 357 80 11;;"VALUE ('29','Gonzalez','Sofia','sofia.gonzalez@example.ch', '+41 79 357 80 11');"
30;Meyer;Liam;liam.meyer@example.ch;+41 79 868 44 92;;"VALUE ('30','Meyer','Liam','liam.meyer@example.ch', '+41 79 868 44 92');"
31;Favre;Nina;nina.favre@example.ch;+41 79 400 65 30;;"VALUE ('31','Favre','Nina','nina.favre@example.ch', '+41 79 400 65 30');"
32;Durand;Sofia;sofia.durand@example.ch;+41 79 839 43 74;;"VALUE ('32','Durand','Sofia','sofia.durand@example.ch', '+41 79 839 43 74');"
33;Gonzalez;Leo;leo.gonzalez@example.ch;+41 79 208 90 48;;"VALUE ('33','Gonzalez','Leo','leo.gonzalez@example.ch', '+41 79 208 90 48');"
34;Berset;Arthur;arthur.berset@example.ch;+41 79 303 29 57;;"VALUE ('34','Berset','Arthur','arthur.berset@example.ch', '+41 79 303 29 57');"
35;Meyer;Leo;leo.meyer@example.ch;+41 79 897 77 10;;"VALUE ('35','Meyer','Leo','leo.meyer@example.ch', '+41 79 897 77 10');"
36;Lambert;Lina;lina.lambert@example.ch;+41 79 600 12 24;;"VALUE ('36','Lambert','Lina','lina.lambert@example.ch', '+41 79 600 12 24');"
37;Girard;Jules;jules.girard@example.ch;+41 79 345 17 40;;"VALUE ('37','Girard','Jules','jules.girard@example.ch', '+41 79 345 17 40');"
38;Morel;Camille;camille.morel@example.ch;+41 79 187 72 18;;"VALUE ('38','Morel','Camille','camille.morel@example.ch', '+41 79 187 72 18');"
39;Rossi;Tom;tom.rossi@example.ch;+41 79 231 94 70;;"VALUE ('39','Rossi','Tom','tom.rossi@example.ch', '+41 79 231 94 70');"
40;Dubois;Tom;tom.dubois@example.ch;+41 79 371 77 87;;"VALUE ('40','Dubois','Tom','tom.dubois@example.ch', '+41 79 371 77 87');"
41;Aubert;Elya;elya.aubert@example.ch;+41 79 652 98 35;;"VALUE ('41','Aubert','Elya','elya.aubert@example.ch', '+41 79 652 98 35');"
42;Rey;Zoé;zoé.rey@example.ch;+41 79 787 93 57;;"VALUE ('42','Rey','Zoé','zoé.rey@example.ch', '+41 79 787 93 57');"
43;Gonzalez;Sofia;sofia.gonzalez@example.ch;+41 79 562 25 41;;"VALUE ('43','Gonzalez','Sofia','sofia.gonzalez@example.ch', '+41 79 562 25 41');"
44;Morel;Ethan;ethan.morel@example.ch;+41 79 446 12 85;;"VALUE ('44','Morel','Ethan','ethan.morel@example.ch', '+41 79 446 12 85');"
